attributes,basePeriod,dimensions,footnotes,geoAreaCode,geoAreaName,geoInfoUrl,goal,indicator,lowerBound,series,seriesCount,seriesDescription,source,target,timeCoverage,timePeriodStart,time_detail,upperBound,value,valueType
"{'Nature': 'N', 'Units': 'TONNES', 'Observation Status': 'A'}",,{'Reporting Type': 'G'},[],142,Asia,,['12'],['12.5.1'],,EN_EWT_RCYV,1093,Electronic waste recycled (Tonnes),UNITAR / WESR,['12.5'],,2020.0,,,3303694.287,Float
"{'Nature': 'N', 'Units': 'TONNES', 'Observation Status': 'A'}",,{'Reporting Type': 'G'},[],142,Asia,,['12'],['12.5.1'],,EN_EWT_RCYV,1093,Electronic waste recycled (Tonnes),UNITAR / WESR,['12.5'],,2021.0,,,3451218.207,Float
"{'Nature': 'N', 'Units': 'TONNES', 'Observation Status': 'A'}",,{'Reporting Type': 'G'},[],142,Asia,,['12'],['12.5.1'],,EN_EWT_RCYV,1093,Electronic waste recycled (Tonnes),UNITAR / WESR,['12.5'],,2022.0,,,3568097.41,Float
"{'Nature': 'N', 'Units': 'TONNES', 'Observation Status': 'A'}",,{'Reporting Type': 'G'},[],53,Australia and New Zealand,,['12'],['12.5.1'],,EN_EWT_RCYV,1093,Electronic waste recycled (Tonnes),UNITAR / WESR,['12.5'],,2010.0,,,0,Float
"{'Nature': 'N', 'Units': 'TONNES', 'Observation Status': 'A'}",,{'Reporting Type': 'G'},[],53,Australia and New Zealand,,['12'],['12.5.1'],,EN_EWT_RCYV,1093,Electronic waste recycled (Tonnes),UNITAR / WESR,['12.5'],,2011.0,,,0,Float
"{'Nature': 'N', 'Units': 'TONNES', 'Observation Status': 'A'}",,{'Reporting Type': 'G'},[],53,Australia and New Zealand,,['12'],['12.5.1'],,EN_EWT_RCYV,1093,Electronic waste recycled (Tonnes),UNITAR / WESR,['12.5'],,2012.0,,,41000,Float
"{'Nature': 'N', 'Units': 'TONNES', 'Observation Status': 'A'}",,{'Reporting Type': 'G'},[],53,Australia and New Zealand,,['12'],['12.5.1'],,EN_EWT_RCYV,1093,Electronic waste recycled (Tonnes),UNITAR / WESR,['12.5'],,2013.0,,,40884.24678,Float
"{'Nature': 'N', 'Units': 'TONNES', 'Observation Status': 'A'}",,{'Reporting Type': 'G'},[],53,Australia and New Zealand,,['12'],['12.5.1'],,EN_EWT_RCYV,1093,Electronic waste recycled (Tonnes),UNITAR / WESR,['12.5'],,2014.0,,,43000,Float
"{'Nature': 'N', 'Units': 'TONNES', 'Observation Status': 'A'}",,{'Reporting Type': 'G'},[],53,Australia and New Zealand,,['12'],['12.5.1'],,EN_EWT_RCYV,1093,Electronic waste recycled (Tonnes),UNITAR / WESR,['12.5'],,2015.0,,,52151.09177,Float
"{'Nature': 'N', 'Units': 'TONNES', 'Observation Status': 'A'}",,{'Reporting Type': 'G'},[],53,Australia and New Zealand,,['12'],['12.5.1'],,EN_EWT_RCYV,1093,Electronic waste recycled (Tonnes),UNITAR / WESR,['12.5'],,2016.0,,,54233.575,Float
"{'Nature': 'N', 'Units': 'TONNES', 'Observation Status': 'A'}",,{'Reporting Type': 'G'},[],53,Australia and New Zealand,,['12'],['12.5.1'],,EN_EWT_RCYV,1093,Electronic waste recycled (Tonnes),UNITAR / WESR,['12.5'],,2017.0,,,56068.31632,Float
"{'Nature': 'N', 'Units': 'TONNES', 'Observation Status': 'A'}",,{'Reporting Type': 'G'},[],53,Australia and New Zealand,,['12'],['12.5.1'],,EN_EWT_RCYV,1093,Electronic waste recycled (Tonnes),UNITAR / WESR,['12.5'],,2018.0,,,57650,Float
"{'Nature': 'N', 'Units': 'TONNES', 'Observation Status': 'A'}",,{'Reporting Type': 'G'},[],53,Australia and New Zealand,,['12'],['12.5.1'],,EN_EWT_RCYV,1093,Electronic waste recycled (Tonnes),UNITAR / WESR,['12.5'],,2019.0,,,277429.3746,Float
"{'Nature': 'N', 'Units': 'TONNES', 'Observation Status': 'A'}",,{'Reporting Type': 'G'},[],53,Australia and New Zealand,,['12'],['12.5.1'],,EN_EWT_RCYV,1093,Electronic waste recycled (Tonnes),UNITAR / WESR,['12.5'],,2020.0,,,282672.4406,Float
