Country,Year,Value,Series,Series Description
Colombia,2014.0,263980,EN_EWT_GENV,E-waste generated (tonnes)
Colombia,2015.0,279780,EN_EWT_GENV,E-waste generated (tonnes)
Colombia,2016.0,295410,EN_EWT_GENV,E-waste generated (tonnes)
Colombia,2017.0,310800,EN_EWT_GENV,E-waste generated (tonnes)
Colombia,2018.0,326650,EN_EWT_GENV,E-waste generated (tonnes)
Colombia,2019.0,342350,EN_EWT_GENV,E-waste generated (tonnes)
Colombia,2020.0,357820,EN_EWT_GENV,E-waste generated (tonnes)
Colombia,2021.0,207950,EN_EWT_GENV,E-waste generated (tonnes)
Colombia,2022.0,387720,EN_EWT_GENV,E-waste generated (tonnes)
Costa Rica,2010.0,44427.24988,EN_EWT_GENV,E-waste generated (tonnes)
Costa Rica,2011.0,48591.56424,EN_EWT_GENV,E-waste generated (tonnes)
Costa Rica,2012.0,52159.08721,EN_EWT_GENV,E-waste generated (tonnes)
Costa Rica,2013.0,54972.15229,EN_EWT_GENV,E-waste generated (tonnes)
Costa Rica,2014.0,57722.30761,EN_EWT_GENV,E-waste generated (tonnes)
Costa Rica,2015.0,60525.13799,EN_EWT_GENV,E-waste generated (tonnes)
Costa Rica,2016.0,63362.01156,EN_EWT_GENV,E-waste generated (tonnes)
Costa Rica,2017.0,63194.73064,EN_EWT_GENV,E-waste generated (tonnes)
Costa Rica,2018.0,64964.91814,EN_EWT_GENV,E-waste generated (tonnes)
Costa Rica,2019.0,66908.83315,EN_EWT_GENV,E-waste generated (tonnes)
Costa Rica,2020.0,68349.6505,EN_EWT_GENV,E-waste generated (tonnes)
Costa Rica,2021.0,69670.9808,EN_EWT_GENV,E-waste generated (tonnes)
Costa Rica,2022.0,66220,EN_EWT_GENV,E-waste generated (tonnes)
Costa Rica,2023.0,81000,EN_EWT_GENV,E-waste generated (tonnes)
Cyprus,2019.0,14574,EN_EWT_GENV,E-waste generated (tonnes)
Cyprus,2020.0,14814,EN_EWT_GENV,E-waste generated (tonnes)
Cyprus,2021.0,15149,EN_EWT_GENV,E-waste generated (tonnes)
Cyprus,2022.0,15027,EN_EWT_GENV,E-waste generated (tonnes)
Cyprus,2023.0,14892,EN_EWT_GENV,E-waste generated (tonnes)
Denmark,2021.0,140524,EN_EWT_GENV,E-waste generated (tonnes)
Denmark,2022.0,143797,EN_EWT_GENV,E-waste generated (tonnes)
Denmark,2023.0,150247,EN_EWT_GENV,E-waste generated (tonnes)
Eastern Africa,2010.0,154320.6774,EN_EWT_GENV,E-waste generated (tonnes)
Eastern Africa,2011.0,173343.5171,EN_EWT_GENV,E-waste generated (tonnes)
Eastern Africa,2012.0,192980.6516,EN_EWT_GENV,E-waste generated (tonnes)
Eastern Africa,2013.0,213238.1167,EN_EWT_GENV,E-waste generated (tonnes)
Eastern Africa,2014.0,234530.6719,EN_EWT_GENV,E-waste generated (tonnes)
Eastern Africa,2015.0,256044.4523,EN_EWT_GENV,E-waste generated (tonnes)
Eastern Africa,2016.0,278976.8529,EN_EWT_GENV,E-waste generated (tonnes)
Eastern Africa,2017.0,302759.9535,EN_EWT_GENV,E-waste generated (tonnes)
Eastern Africa,2018.0,327531.6894,EN_EWT_GENV,E-waste generated (tonnes)
Eastern Africa,2019.0,352867.1455,EN_EWT_GENV,E-waste generated (tonnes)
Eastern Africa,2020.0,377980.5537,EN_EWT_GENV,E-waste generated (tonnes)
Eastern Africa,2021.0,403530.8577,EN_EWT_GENV,E-waste generated (tonnes)
Eastern Africa,2022.0,430490.2105,EN_EWT_GENV,E-waste generated (tonnes)
Eastern Africa,2023.0,459633.0546,EN_EWT_GENV,E-waste generated (tonnes)
Eastern Africa,2024.0,490375.8626,EN_EWT_GENV,E-waste generated (tonnes)
Eastern Africa,2025.0,522232.84,EN_EWT_GENV,E-waste generated (tonnes)
Eastern and South-Eastern Asia,2010.0,9716923.845,EN_EWT_GENV,E-waste generated (tonnes)
Eastern and South-Eastern Asia,2011.0,10691434.16,EN_EWT_GENV,E-waste generated (tonnes)
Eastern and South-Eastern Asia,2012.0,11691461.33,EN_EWT_GENV,E-waste generated (tonnes)
Eastern and South-Eastern Asia,2013.0,12675055.4,EN_EWT_GENV,E-waste generated (tonnes)
Eastern and South-Eastern Asia,2014.0,13583483.58,EN_EWT_GENV,E-waste generated (tonnes)
Eastern and South-Eastern Asia,2015.0,14447377.67,EN_EWT_GENV,E-waste generated (tonnes)
Eastern and South-Eastern Asia,2016.0,15304934.33,EN_EWT_GENV,E-waste generated (tonnes)
Eastern and South-Eastern Asia,2017.0,16182465.23,EN_EWT_GENV,E-waste generated (tonnes)
Eastern and South-Eastern Asia,2018.0,17109993.56,EN_EWT_GENV,E-waste generated (tonnes)
Eastern and South-Eastern Asia,2019.0,18054030.02,EN_EWT_GENV,E-waste generated (tonnes)
Eastern and South-Eastern Asia,2020.0,18934732.07,EN_EWT_GENV,E-waste generated (tonnes)
Eastern and South-Eastern Asia,2021.0,19785177.42,EN_EWT_GENV,E-waste generated (tonnes)
Eastern and South-Eastern Asia,2022.0,20653960.3,EN_EWT_GENV,E-waste generated (tonnes)
Eastern and South-Eastern Asia,2023.0,21586499.34,EN_EWT_GENV,E-waste generated (tonnes)
Eastern and South-Eastern Asia,2024.0,22593607.9,EN_EWT_GENV,E-waste generated (tonnes)
Eastern and South-Eastern Asia,2025.0,23672603.04,EN_EWT_GENV,E-waste generated (tonnes)
Eastern Asia,2010.0,7672159.122,EN_EWT_GENV,E-waste generated (tonnes)
Eastern Asia,2011.0,8452857.81,EN_EWT_GENV,E-waste generated (tonnes)
Eastern Asia,2012.0,9254849.484,EN_EWT_GENV,E-waste generated (tonnes)
Eastern Asia,2013.0,10043716.84,EN_EWT_GENV,E-waste generated (tonnes)
Eastern Asia,2014.0,10769912.48,EN_EWT_GENV,E-waste generated (tonnes)
Eastern Asia,2015.0,11454014.69,EN_EWT_GENV,E-waste generated (tonnes)
Eastern Asia,2016.0,12128761.66,EN_EWT_GENV,E-waste generated (tonnes)
Eastern Asia,2017.0,12813841.52,EN_EWT_GENV,E-waste generated (tonnes)
Eastern Asia,2018.0,13536684.84,EN_EWT_GENV,E-waste generated (tonnes)
Eastern Asia,2019.0,14275284.69,EN_EWT_GENV,E-waste generated (tonnes)
Eastern Asia,2020.0,14962927.56,EN_EWT_GENV,E-waste generated (tonnes)
Eastern Asia,2021.0,15622571.28,EN_EWT_GENV,E-waste generated (tonnes)
Eastern Asia,2022.0,16291656.98,EN_EWT_GENV,E-waste generated (tonnes)
Eastern Asia,2023.0,17013596.32,EN_EWT_GENV,E-waste generated (tonnes)
Eastern Asia,2024.0,17801105.9,EN_EWT_GENV,E-waste generated (tonnes)
Eastern Asia,2025.0,18651993.26,EN_EWT_GENV,E-waste generated (tonnes)
Eastern Europe,2010.0,2177283.991,EN_EWT_GENV,E-waste generated (tonnes)
Eastern Europe,2011.0,2325776.81,EN_EWT_GENV,E-waste generated (tonnes)
Eastern Europe,2012.0,2476151.723,EN_EWT_GENV,E-waste generated (tonnes)
Eastern Europe,2013.0,2621913.632,EN_EWT_GENV,E-waste generated (tonnes)
Eastern Europe,2014.0,2759850.223,EN_EWT_GENV,E-waste generated (tonnes)
Eastern Europe,2015.0,2884476.139,EN_EWT_GENV,E-waste generated (tonnes)
Eastern Europe,2016.0,3003563.557,EN_EWT_GENV,E-waste generated (tonnes)
Eastern Europe,2017.0,3119082.734,EN_EWT_GENV,E-waste generated (tonnes)
Eastern Europe,2018.0,3243725.122,EN_EWT_GENV,E-waste generated (tonnes)
Eastern Europe,2019.0,3364459.108,EN_EWT_GENV,E-waste generated (tonnes)
Eastern Europe,2020.0,3476175.201,EN_EWT_GENV,E-waste generated (tonnes)
Eastern Europe,2021.0,3580351.314,EN_EWT_GENV,E-waste generated (tonnes)
Eastern Europe,2022.0,3677526.04,EN_EWT_GENV,E-waste generated (tonnes)
Eastern Europe,2023.0,3787958.479,EN_EWT_GENV,E-waste generated (tonnes)
Eastern Europe,2024.0,3900402.888,EN_EWT_GENV,E-waste generated (tonnes)
Eastern Europe,2025.0,4009149.859,EN_EWT_GENV,E-waste generated (tonnes)
Ecuador,2005.0,7341,EN_EWT_GENV,E-waste generated (tonnes)
Ecuador,2006.0,10774,EN_EWT_GENV,E-waste generated (tonnes)
Ecuador,2007.0,14462,EN_EWT_GENV,E-waste generated (tonnes)
